hour,mode,departures
0,Bus,658
0,Train,825
0,Tram,1723
1,Bus,407
1,Train,337
1,Tram,647
2,Bus,421
2,Train,232
2,Tram,309
3,Bus,434
3,Train,259
3,Tram,164
4,Bus,690
4,Train,584
4,Tram,485
5,Bus,4612
5,Train,1234
5,Tram,2823
6,Bus,12311
6,Train,1734
6,Tram,4463
7,Bus,16887
7,Train,2324
7,Tram,5770
8,Bus,17436
8,Train,2414
8,Tram,5255
9,Bus,17132
9,Train,1956
9,Tram,5154
10,Bus,16986
10,Train,1809
10,Tram,5133
11,Bus,16850
11,Train,1739
11,Tram,5122
12,Bus,16739
12,Train,1738
12,Tram,5156
13,Bus,16780
13,Train,1693
13,Tram,5137
14,Bus,17240
14,Train,1769
14,Tram,5405
15,Bus,18036
15,Train,2064
15,Tram,5410
16,Bus,18911
16,Train,2432
16,Tram,5832
17,Bus,18102
17,Train,2460
17,Tram,5532
18,Bus,16060
18,Train,2170
18,Tram,4836
19,Bus,12231
19,Train,1568
19,Tram,3991
20,Bus,9926
20,Train,1480
20,Tram,3331
21,Bus,6748
21,Train,1649
21,Tram,2933
22,Bus,2738
22,Train,1748
22,Tram,2675
23,Bus,1971
23,Train,1501
23,Tram,2495
