SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,AREASQKM21,population,total_stops,train_stops,tram_stops,bus_stops,regional_stops,stops_per_sqkm,stops_per_10000_residents,mode_diversity,access_score
206011106,Brunswick East,Brunswick - Coburg,Melbourne - Inner,2.168,14693,45,0,15,30,0,20.755,30.627,2,48.8
206011107,Brunswick West,Brunswick - Coburg,Melbourne - Inner,3.179,15988,88,0,16,72,0,27.677,55.041,2,71.6
206011109,Pascoe Vale South,Brunswick - Coburg,Melbourne - Inner,2.989,10907,50,0,9,41,0,16.73,45.842,2,61.5
206011495,Brunswick - North,Brunswick - Coburg,Melbourne - Inner,2.409,15255,61,3,19,39,0,25.321,39.987,3,75.3
206011496,Brunswick - South,Brunswick - Coburg,Melbourne - Inner,2.733,15366,72,6,17,49,0,26.341,46.857,3,82.4
206011497,Coburg - East,Brunswick - Coburg,Melbourne - Inner,3.747,14457,88,6,33,48,1,23.485,60.87,4,90.8
206011498,Coburg - West,Brunswick - Coburg,Melbourne - Inner,3.188,14989,66,12,1,53,0,20.705,44.032,3,78.1
206021110,Alphington - Fairfield,Darebin - South,Melbourne - Inner,2.885,9749,75,19,0,56,0,25.994,76.931,2,83.5
206021112,Thornbury,Darebin - South,Melbourne - Inner,4.997,20234,87,8,19,60,0,17.41,42.997,3,76.3
206021499,Northcote - East,Darebin - South,Melbourne - Inner,3.513,15969,75,7,8,60,0,21.347,46.966,3,81.3
206021500,Northcote - West,Darebin - South,Melbourne - Inner,2.632,11026,71,33,21,17,0,26.98,64.393,3,92.7
206031113,Ascot Vale,Essendon,Melbourne - Inner,3.836,16398,80,13,22,45,0,20.855,48.786,3,83.1
206031115,Flemington,Essendon,Melbourne - Inner,1.581,9935,44,14,17,13,0,27.834,44.288,3,80.5
206031116,Moonee Ponds,Essendon,Melbourne - Inner,4.355,17965,99,11,21,67,0,22.732,55.107,3,87.5
206031501,Essendon (West) - Aberfeldie,Essendon,Melbourne - Inner,4.889,17119,71,0,12,59,0,14.524,41.474,2,55.0
206031502,Essendon - East,Essendon,Melbourne - Inner,3.554,13196,121,40,17,64,0,34.043,91.694,3,97.9
206041117,Carlton,Melbourne City,Melbourne - Inner,1.819,25267,55,2,16,37,0,30.241,21.768,3,63.8
206041118,Docklands,Melbourne City,Melbourne - Inner,2.444,19139,57,11,30,15,1,23.322,29.782,4,66.3
206041119,East Melbourne,Melbourne City,Melbourne - Inner,2.9,5245,85,41,34,10,0,29.312,162.059,3,98.3
206041120,Flemington Racecourse,Melbourne City,Melbourne - Inner,1.709,78,12,6,3,3,0,7.02,1538.462,3,84.1
206041121,Kensington (Vic.),Melbourne City,Melbourne - Inner,2.147,12423,29,11,6,12,0,13.507,23.344,3,57.6
206041124,Parkville,Melbourne City,Melbourne - Inner,4.049,8280,56,5,26,25,0,13.83,67.633,3,88.1
206041125,South Yarra - West,Melbourne City,Melbourne - Inner,1.503,6894,37,5,16,16,0,24.622,53.67,3,87.6
206041127,West Melbourne - Industrial,Melbourne City,Melbourne - Inner,6.199,0,28,12,0,15,1,4.517,0,3,31.8
206041503,Melbourne CBD - East,Melbourne City,Melbourne - Inner,0.802,14266,67,34,27,6,0,83.541,46.965,3,84.0
206041504,Melbourne CBD - North,Melbourne City,Melbourne - Inner,0.562,24296,70,43,15,12,0,124.644,28.811,3,67.7
206041505,Melbourne CBD - West,Melbourne City,Melbourne - Inner,1.005,22163,181,118,40,23,0,180.082,81.668,3,97.8
206041506,North Melbourne,Melbourne City,Melbourne - Inner,2.425,19286,66,10,30,26,0,27.219,34.222,3,71.3
206041507,Royal Botanic Gardens Victoria,Melbourne City,Melbourne - Inner,1.351,0,10,3,3,4,0,7.401,0,3,45.1
206041508,Southbank (West) - South Wharf,Melbourne City,Melbourne - Inner,0.85,8122,14,0,9,5,0,16.478,17.237,2,41.1
206041509,Southbank - East,Melbourne City,Melbourne - Inner,0.804,19552,20,0,15,5,0,24.876,10.229,2,41.8
206041510,West Melbourne - Residential,Melbourne City,Melbourne - Inner,0.825,9699,26,6,5,15,0,31.527,26.807,3,66.1
206051128,Albert Park,Port Phillip,Melbourne - Inner,4.675,17253,71,9,41,21,0,15.188,41.152,3,72.6
206051129,Elwood,Port Phillip,Melbourne - Inner,2.553,16056,45,0,5,40,0,17.626,28.027,2,46.2
206051130,Port Melbourne,Port Phillip,Melbourne - Inner,2.789,16927,57,0,5,52,0,20.435,33.674,2,51.6
206051134,St Kilda East,Port Phillip,Melbourne - Inner,2.413,17380,68,21,22,25,0,28.175,39.125,3,75.7
206051511,Port Melbourne Industrial,Port Phillip,Melbourne - Inner,7.643,3148,55,0,4,51,0,7.197,174.714,2,66.8
206051512,South Melbourne,Port Phillip,Melbourne - Inner,1.89,13132,39,0,27,12,0,20.638,29.698,2,47.9
206051513,St Kilda - Central,Port Phillip,Melbourne - Inner,1.538,14012,52,0,32,20,0,33.821,37.111,2,57.2
206051514,St Kilda - West,Port Phillip,Melbourne - Inner,2.364,16298,53,0,30,23,0,22.422,32.519,2,51.5
206061135,Armadale,Stonnington - West,Melbourne - Inner,2.183,10032,87,25,40,22,0,39.844,86.722,3,97.9
206061136,Prahran - Windsor,Stonnington - West,Melbourne - Inner,2.905,21112,95,22,47,26,0,32.699,44.998,3,81.9
206061138,Toorak,Stonnington - West,Melbourne - Inner,4.323,13610,64,8,31,25,0,14.804,47.024,3,78.3
206061515,South Yarra - North,Stonnington - West,Melbourne - Inner,1.17,13779,36,13,8,15,0,30.78,26.127,3,65.6
206061516,South Yarra - South,Stonnington - West,Melbourne - Inner,1.347,10440,33,4,18,11,0,24.49,31.609,3,68.2
206071139,Abbotsford,Yarra,Melbourne - Inner,1.74,10316,47,28,5,14,0,27.004,45.56,3,81.6
206071140,Carlton North - Princes Hill,Yarra,Melbourne - Inner,2.304,8828,37,0,17,20,0,16.058,41.912,2,57.1
206071141,Collingwood,Yarra,Melbourne - Inner,1.267,11383,20,0,8,12,0,15.787,17.57,2,40.8
206071142,Fitzroy,Yarra,Melbourne - Inner,1.378,12135,35,0,28,7,0,25.401,28.842,2,48.9
206071143,Fitzroy North,Yarra,Melbourne - Inner,2.505,13749,79,11,28,40,0,31.536,57.459,3,90.6
206071145,Clifton Hill - Alphington,Yarra,Melbourne - Inner,5.209,11419,47,15,4,28,0,9.023,41.159,3,65.8
206071517,Richmond (South) - Cremorne,Yarra,Melbourne - Inner,4.289,19225,135,87,45,3,0,31.475,70.221,3,95.2
206071518,Richmond - North,Yarra,Melbourne - Inner,1.923,15303,51,22,25,4,0,26.517,33.327,3,70.4
207011146,Ashburton (Vic.),Boroondara,Melbourne - Inner East,2.837,8471,34,8,0,26,0,11.986,40.137,2,56.2
207011147,Balwyn,Boroondara,Melbourne - Inner East,5.585,16868,62,0,21,41,0,11.101,36.756,2,46.6
207011148,Balwyn North,Boroondara,Melbourne - Inner East,8.849,22454,108,0,12,96,0,12.204,48.098,2,59.5
207011149,Camberwell,Boroondara,Melbourne - Inner East,7.292,22052,157,50,57,50,0,21.531,71.195,3,93.2
